program_id,university_name,university_type,partnership_status,partner_name,country,city,world_ranking,university_website,program_name,degree_level,field_of_study,specialization,course_duration_years,course_duration_months,program_website,min_gpa,min_percentage,last_education_required,work_experience_required,min_work_experience_years,specific_background_required,english_test_required,ielts_overall,ielts_individual,toefl_overall,toefl_individual,pte_overall,duolingo_overall,moi_accepted,moi_conditions,gre_required,min_gre_score,gmat_required,min_gmat_score,other_exams,tuition_fee_eur,tuition_fee_usd,application_fee_eur,scholarships_available,scholarship_details,scholarship_amount_max,living_cost_estimate_eur,intake_spring,intake_summer,intake_fall,intake_winter,spring_deadline,summer_deadline,fall_deadline,winter_deadline,rolling_admissions,language_of_instruction,visa_success_rate,job_placement_rate,internship_opportunities,part_time_work_allowed,post_study_work_visa,program_highlights,notes,admissions_email,application_portal,commission_rate,last_updated
PROG014,emlyon business school,Private,Partnered,Edugo,France,Lyon,156,https://www.em-lyon.com,Master in Management,Master's,Business Administration,General Management,2,24,https://www.em-lyon.com/en/master,3.2,75,Bachelor's,No,0,Any field,Yes,6.5,6.0,90,20,58,110,Yes,If bachelor's was in English,No,N/A,Optional,N/A,N/A,19500,21450,120,Yes,Excellence scholarships,8000,11000,No,No,Yes,No,N/A,N/A,03/15,N/A,No,English,92,87,Yes,Yes,2 years,"Entrepreneurship focus, Innovation hub, Global campuses",N/A,admissions@em-lyon.com,https://apply.em-lyon.com,15%,2025-01-15
PROG015,emlyon business school,Private,Partnered,Edugo,France,Lyon,156,https://www.em-lyon.com,Master in Digital Marketing & Data Science,Master's,Marketing,Digital Marketing,1.5,18,https://www.em-lyon.com/en/master,3.0,70,Bachelor's,No,0,Business or technical background,Yes,6.5,6.0,90,20,58,110,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,17500,19250,100,Yes,Diversity scholarships,5000,11000,No,No,Yes,No,N/A,N/A,04/15,N/A,No,English,92,89,Yes,Yes,2 years,"Tech-focused, Hands-on projects, Industry mentors",N/A,admissions@em-lyon.com,https://apply.em-lyon.com,15%,2025-01-15
PROG016,Technical University of Munich (TUM),Public,Partnered,Edugo,Germany,Munich,37,https://www.tum.de,Master in Computer Science,Master's,Computer Science,Software Engineering,2,24,https://www.tum.de/en/studies,3.0,70,Bachelor's,No,0,Computer Science background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,10800,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,95,92,Yes,Yes,18 months,"Top German university, No tuition fees, Strong industry ties",Free tuition at public universities,admissions@tum.de,https://apply.tum.de,10%,2025-01-15
PROG017,Technical University of Munich (TUM),Public,Partnered,Edugo,Germany,Munich,37,https://www.tum.de,Master in Data Engineering and Analytics,Master's,Computer Science,Data Science & Analytics,2,24,https://www.tum.de/en/studies,3.2,75,Bachelor's,No,0,Computer Science or Mathematics background,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,10800,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,95,94,Yes,Yes,18 months,"Highly ranked, Research-focused, Free tuition",Competitive admission,admissions@tum.de,https://apply.tum.de,10%,2025-01-15
PROG018,Technical University of Munich (TUM),Public,Partnered,Edugo,Germany,Munich,37,https://www.tum.de,Master in Management & Technology,Master's,Business Administration,Technology Management,2,24,https://www.tum.de/en/studies,3.3,78,Bachelor's,No,0,Engineering or Business background,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,Optional,N/A,Optional,N/A,N/A,0,0,0,Yes,TUM scholarships,8000,10800,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,95,90,Yes,Yes,18 months,"Interdisciplinary, Innovation focus, Free tuition",N/A,admissions@tum.de,https://apply.tum.de,10%,2025-01-15
PROG019,Ludwig Maximilian University (LMU Munich),Public,Partnered,Edugo,Germany,Munich,59,https://www.lmu.de,Master in Computer Science,Master's,Computer Science,Artificial Intelligence,2,24,https://www.lmu.de/en/study,3.0,70,Bachelor's,No,0,Computer Science background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,10800,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,94,90,Yes,Yes,18 months,"Prestigious university, AI research, Free tuition",N/A,admissions@lmu.de,https://apply.lmu.de,10%,2025-01-15
PROG020,Ludwig Maximilian University (LMU Munich),Public,Partnered,Edugo,Germany,Munich,59,https://www.lmu.de,Master in Business Administration,Master's,Business Administration,General Management,2,24,https://www.lmu.de/en/study,3.2,75,Bachelor's,Yes,2,Business background preferred,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,Optional,N/A,Yes,550,N/A,0,0,0,Yes,Merit scholarships,6000,10800,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,94,88,Yes,Yes,18 months,"Top-ranked, International cohort, Free tuition",N/A,admissions@lmu.de,https://apply.lmu.de,10%,2025-01-15
PROG021,RWTH Aachen University,Public,Partnered,Edugo,Germany,Aachen,106,https://www.rwth-aachen.de,Master in Mechanical Engineering,Master's,Engineering,Mechanical Engineering,2,24,https://www.rwth-aachen.de/go/id/a/?lidx=1,3.0,70,Bachelor's,No,0,Engineering background required,Yes,6.5,6.0,90,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,9600,No,No,Yes,No,N/A,N/A,03/01,N/A,No,English,93,91,Yes,Yes,18 months,"Top engineering school, Industry partnerships, Free tuition",N/A,admissions@rwth-aachen.de,https://apply.rwth-aachen.de,10%,2025-01-15
PROG022,RWTH Aachen University,Public,Partnered,Edugo,Germany,Aachen,106,https://www.rwth-aachen.de,Master in Electrical Engineering,Master's,Engineering,Electrical Engineering,2,24,https://www.rwth-aachen.de/go/id/a/?lidx=1,3.0,70,Bachelor's,No,0,Electrical Engineering background,Yes,6.5,6.0,90,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,9600,No,No,Yes,No,N/A,N/A,03/01,N/A,No,English,93,90,Yes,Yes,18 months,"Strong research, Industry links, Free tuition",N/A,admissions@rwth-aachen.de,https://apply.rwth-aachen.de,10%,2025-01-15
PROG023,RWTH Aachen University,Public,Partnered,Edugo,Germany,Aachen,106,https://www.rwth-aachen.de,Master in Data Science,Master's,Computer Science,Data Science & Analytics,2,24,https://www.rwth-aachen.de/go/id/a/?lidx=1,3.2,75,Bachelor's,No,0,Computer Science or Mathematics background,Yes,6.5,6.0,90,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,9600,No,No,Yes,No,N/A,N/A,03/01,N/A,No,English,93,92,Yes,Yes,18 months,"Interdisciplinary, Research focus, Free tuition",N/A,admissions@rwth-aachen.de,https://apply.rwth-aachen.de,10%,2025-01-15
PROG024,Heidelberg University,Public,Non-Partnered,N/A,Germany,Heidelberg,87,https://www.uni-heidelberg.de,Master in Computer Science,Master's,Computer Science,Software Engineering,2,24,https://www.uni-heidelberg.de/en/study,3.0,70,Bachelor's,No,0,Computer Science background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,10200,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,92,89,Yes,Yes,18 months,"Oldest German university, Strong research, Free tuition",N/A,admissions@uni-heidelberg.de,https://apply.uni-heidelberg.de,0%,2025-01-15
PROG025,Heidelberg University,Public,Non-Partnered,N/A,Germany,Heidelberg,87,https://www.uni-heidelberg.de,Master in Economics,Master's,Economics,Economic Policy,2,24,https://www.uni-heidelberg.de/en/study,3.2,75,Bachelor's,No,0,Economics background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,Merit scholarships,8000,10200,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,92,87,Yes,Yes,18 months,"Historic institution, Research excellence, Free tuition",N/A,admissions@uni-heidelberg.de,https://apply.uni-heidelberg.de,0%,2025-01-15
PROG026,University of Mannheim,Public,Partnered,Edugo,Germany,Mannheim,141,https://www.uni-mannheim.de,Master in Business Administration,Master's,Business Administration,General Management,2,24,https://www.uni-mannheim.de/en/academics,3.3,78,Bachelor's,Yes,2,Business background required,Yes,7.0,6.5,95,22,65,110,No,N/A,Optional,N/A,Yes,600,N/A,0,0,0,Yes,Merit scholarships,7000,10000,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,94,91,Yes,Yes,18 months,"Top business school, Strong network, Free tuition",Highly competitive,admissions@uni-mannheim.de,https://apply.uni-mannheim.de,12%,2025-01-15
PROG027,University of Mannheim,Public,Partnered,Edugo,Germany,Mannheim,141,https://www.uni-mannheim.de,Master in Management,Master's,Business Administration,Strategic Management,2,24,https://www.uni-mannheim.de/en/academics,3.2,75,Bachelor's,No,0,Business background preferred,Yes,6.5,6.0,90,20,58,95,Yes,If bachelor's was in English,No,N/A,Optional,N/A,N/A,0,0,0,Yes,Excellence scholarships,6000,10000,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,94,89,Yes,Yes,18 months,"Top-ranked, Career focus, Free tuition",N/A,admissions@uni-mannheim.de,https://apply.uni-mannheim.de,12%,2025-01-15
PROG028,Technical University of Berlin,Public,Partnered,Edugo,Germany,Berlin,154,https://www.tu.berlin,Master in Computer Science,Master's,Computer Science,Software Engineering,2,24,https://www.tu.berlin/en/studying,3.0,70,Bachelor's,No,0,Computer Science background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,10500,Yes,No,Yes,No,03/15,N/A,12/01,N/A,No,English,91,88,Yes,Yes,18 months,"Berlin location, Innovation hub, Free tuition",Multiple intakes available,admissions@tu.berlin,https://apply.tu.berlin,10%,2025-01-15
PROG029,Technical University of Berlin,Public,Partnered,Edugo,Germany,Berlin,154,https://www.tu.berlin,Master in Engineering Management,Master's,Engineering,Engineering Management,2,24,https://www.tu.berlin/en/studying,3.2,75,Bachelor's,Yes,1,Engineering background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,Merit scholarships,8000,10500,Yes,No,Yes,No,03/15,N/A,12/01,N/A,No,English,91,87,Yes,Yes,18 months,"Interdisciplinary, Startup ecosystem, Free tuition",N/A,admissions@tu.berlin,https://apply.tu.berlin,10%,2025-01-15
PROG030,Free University of Berlin,Public,Non-Partnered,N/A,Germany,Berlin,118,https://www.fu-berlin.de,Master in International Relations,Master's,Political Science,International Relations,2,24,https://www.fu-berlin.de/en/studium,3.0,70,Bachelor's,No,0,Social Sciences background,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,10500,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,90,85,Yes,Yes,18 months,"Berlin location, International focus, Free tuition",N/A,admissions@fu-berlin.de,https://apply.fu-berlin.de,0%,2025-01-15
PROG031,Humboldt University of Berlin,Public,Non-Partnered,N/A,Germany,Berlin,120,https://www.hu-berlin.de,Master in Computer Science,Master's,Computer Science,Artificial Intelligence,2,24,https://www.hu-berlin.de/en/studying,3.0,70,Bachelor's,No,0,Computer Science background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,10500,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,90,88,Yes,Yes,18 months,"Historic university, Research excellence, Free tuition",N/A,admissions@hu-berlin.de,https://apply.hu-berlin.de,0%,2025-01-15
PROG032,University of Stuttgart,Public,Partnered,Edugo,Germany,Stuttgart,312,https://www.uni-stuttgart.de,Master in Automotive Engineering,Master's,Engineering,Automotive Engineering,2,24,https://www.uni-stuttgart.de/en/study,3.0,70,Bachelor's,No,0,Mechanical Engineering background,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,9800,No,No,Yes,No,N/A,N/A,03/15,N/A,No,English,92,90,Yes,Yes,18 months,"Automotive hub, Industry partnerships, Free tuition",Stuttgart is automotive capital,admissions@uni-stuttgart.de,https://apply.uni-stuttgart.de,10%,2025-01-15
PROG033,University of Stuttgart,Public,Partnered,Edugo,Germany,Stuttgart,312,https://www.uni-stuttgart.de,Master in Mechanical Engineering,Master's,Engineering,Mechanical Engineering,2,24,https://www.uni-stuttgart.de/en/study,3.0,70,Bachelor's,No,0,Engineering background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,Merit scholarships,8000,9800,No,No,Yes,No,N/A,N/A,03/15,N/A,No,English,92,89,Yes,Yes,18 months,"Strong engineering, Industry focus, Free tuition",N/A,admissions@uni-stuttgart.de,https://apply.uni-stuttgart.de,10%,2025-01-15
PROG034,Karlsruhe Institute of Technology,Public,Partnered,Edugo,Germany,Karlsruhe,119,https://www.kit.edu,Master in Computer Science,Master's,Computer Science,Software Engineering,2,24,https://www.kit.edu/english/studies,3.0,70,Bachelor's,No,0,Computer Science background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,9900,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,93,90,Yes,Yes,18 months,"Top tech university, Research focus, Free tuition",N/A,admissions@kit.edu,https://apply.kit.edu,10%,2025-01-15
PROG035,Karlsruhe Institute of Technology,Public,Partnered,Edugo,Germany,Karlsruhe,119,https://www.kit.edu,Master in Information Systems,Master's,Computer Science,Information Systems,2,24,https://www.kit.edu/english/studies,3.0,70,Bachelor's,No,0,Computer Science or Business background,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,Merit scholarships,8000,9900,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,93,88,Yes,Yes,18 months,"Interdisciplinary, Tech focus, Free tuition",N/A,admissions@kit.edu,https://apply.kit.edu,10%,2025-01-15
PROG036,University of Freiburg,Public,Non-Partnered,N/A,Germany,Freiburg,192,https://www.uni-freiburg.de,Master in Computer Science,Master's,Computer Science,Software Engineering,2,24,https://www.uni-freiburg.de/en/studying,3.0,70,Bachelor's,No,0,Computer Science background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,9700,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,91,87,Yes,Yes,18 months,"Beautiful location, Research excellence, Free tuition",N/A,admissions@uni-freiburg.de,https://apply.uni-freiburg.de,0%,2025-01-15
PROG037,University of Cologne,Public,Partnered,Edugo,Germany,Cologne,268,https://www.uni-koeln.de,Master in Business Administration,Master's,Business Administration,General Management,2,24,https://www.uni-koeln.de/en/study,3.2,75,Bachelor's,Yes,2,Business background required,Yes,6.5,6.0,90,20,58,95,Yes,If bachelor's was in English,Optional,N/A,Yes,550,N/A,0,0,0,Yes,Merit scholarships,7000,10200,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,92,88,Yes,Yes,18 months,"Strong business school, Industry connections, Free tuition",N/A,admissions@uni-koeln.de,https://apply.uni-koeln.de,12%,2025-01-15
PROG038,University of Göttingen,Public,Non-Partnered,N/A,Germany,Göttingen,232,https://www.uni-goettingen.de,Master in Applied Computer Science,Master's,Computer Science,Applied Computer Science,2,24,https://www.uni-goettingen.de/en/study,3.0,70,Bachelor's,No,0,Computer Science background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,9600,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,90,86,Yes,Yes,18 months,"Historic university, Research focus, Free tuition",N/A,admissions@uni-goettingen.de,https://apply.uni-goettingen.de,0%,2025-01-15
PROG039,University of Hamburg,Public,Partnered,Edugo,Germany,Hamburg,227,https://www.uni-hamburg.de,Master in Computer Science,Master's,Computer Science,Artificial Intelligence,2,24,https://www.uni-hamburg.de/en/campuscenter/studienangebot,3.0,70,Bachelor's,No,0,Computer Science background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,DAAD scholarships,10000,10800,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,91,88,Yes,Yes,18 months,"Port city, International atmosphere, Free tuition",N/A,admissions@uni-hamburg.de,https://apply.uni-hamburg.de,10%,2025-01-15
PROG040,University of Bonn,Public,Non-Partnered,N/A,Germany,Bonn,200,https://www.uni-bonn.de,Master in Economics,Master's,Economics,Economic Policy,2,24,https://www.uni-bonn.de/en/studying,3.2,75,Bachelor's,No,0,Economics background required,Yes,6.5,6.0,88,20,58,95,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,0,0,0,Yes,Merit scholarships,8000,10000,No,No,Yes,No,N/A,N/A,05/31,N/A,No,English,90,86,Yes,Yes,18 months,"Strong economics, Research excellence, Free tuition",N/A,admissions@uni-bonn.de,https://apply.uni-bonn.de,0%,2025-01-15
PROG041,Frankfurt School of Finance & Management,Private,Partnered,Edugo,Germany,Frankfurt,N/A,https://www.frankfurt-school.de,Master in Finance,Master's,Finance,Corporate Finance,1.5,18,https://www.frankfurt-school.de/en/home/programmes,3.4,80,Bachelor's,No,0,Finance or Economics background,Yes,7.0,6.5,100,22,65,120,No,N/A,Optional,320,Yes,650,N/A,28000,30800,150,Yes,Merit scholarships,10000,11000,No,No,Yes,No,N/A,N/A,01/15,N/A,No,English,96,94,Yes,Yes,18 months,"Financial hub, Industry connections, Top recruiters",Frankfurt is financial capital,admissions@frankfurt-school.de,https://apply.frankfurt-school.de,18%,2025-01-15
PROG042,Frankfurt School of Finance & Management,Private,Partnered,Edugo,Germany,Frankfurt,N/A,https://www.frankfurt-school.de,Master in Applied Data Science,Master's,Computer Science,Data Science & Analytics,1.5,18,https://www.frankfurt-school.de/en/home/programmes,3.2,75,Bachelor's,No,0,Quantitative background preferred,Yes,6.5,6.0,90,20,58,110,Yes,If bachelor's was in English,No,N/A,No,N/A,N/A,24000,26400,120,Yes,Excellence scholarships,8000,11000,No,No,Yes,No,N/A,N/A,02/28,N/A,No,English,96,92,Yes,Yes,18 months,"Finance + Tech, Practical focus, Industry projects",N/A,admissions@frankfurt-school.de,https://apply.frankfurt-school.de,18%,2025-01-15
